model,index,no_rag,dense,bm25,roundrobin,rrf,rerank,cite_only,cite_rrf,rrf50,cite_rrf50,cite_ls_rrf50,oracle,ls_text
DeepSeek-V4-Flash,74,30.35714285714285,41.07142857142857,35.714285714285715,42.85714285714285,33.92857142857143,39.285714285714285,25.0,30.35714285714285,32.142857142857146,46.42857142857143,50.0,41.07142857142857,
DeepSeek-V4-Flash,75,21.686746987951807,26.506024096385545,19.27710843373494,19.27710843373494,19.27710843373494,13.253012048192772,20.48192771084337,24.09638554216868,18.072289156626507,13.253012048192772,24.09638554216868,37.34939759036144,
DeepSeek-V4-Flash,76,37.93103448275862,41.37931034482759,31.03448275862069,34.48275862068966,34.48275862068966,44.82758620689656,41.37931034482759,31.03448275862069,41.37931034482759,34.48275862068966,44.82758620689656,41.37931034482759,
DeepSeek-V4-Flash,77,14.473684210526317,15.789473684210526,23.684210526315788,15.789473684210526,21.052631578947366,18.421052631578945,19.73684210526316,17.105263157894736,17.105263157894736,15.789473684210526,18.421052631578945,27.631578947368425,
DeepSeek-V4-Flash,78,50.0,31.818181818181817,31.818181818181817,40.909090909090914,31.818181818181817,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,40.909090909090914,
DeepSeek-V4-Flash,79,28.57142857142857,24.489795918367346,32.6530612244898,26.53061224489796,18.367346938775512,26.53061224489796,28.57142857142857,24.489795918367346,24.489795918367346,38.775510204081634,24.489795918367346,32.6530612244898,
DeepSeek-V4-Flash,80,22.41379310344828,29.310344827586203,24.13793103448276,27.58620689655172,25.86206896551724,25.86206896551724,25.86206896551724,24.13793103448276,25.86206896551724,24.13793103448276,36.206896551724135,37.93103448275862,
Gemma-4-31B-it,0,9.433962264150944,11.320754716981131,9.433962264150944,7.547169811320755,7.547169811320755,0.0,5.660377358490567,7.547169811320755,7.547169811320755,11.320754716981131,0.0,24.52830188679245,11.320754716981133
Gemma-4-31B-it,1,11.11111111111111,8.333333333333332,5.555555555555555,8.333333333333332,5.555555555555555,13.88888888888889,13.88888888888889,11.11111111111111,16.666666666666664,11.11111111111111,0.0,44.44444444444444,5.555555555555555
Gemma-4-31B-it,2,21.21212121212121,15.151515151515152,18.181818181818183,12.12121212121212,15.151515151515152,30.303030303030305,21.21212121212121,21.21212121212121,21.21212121212121,21.21212121212121,0.0,48.48484848484848,21.21212121212121
Gemma-4-31B-it,3,20.454545454545457,20.454545454545457,18.181818181818183,18.181818181818183,18.181818181818183,15.909090909090908,4.545454545454546,18.181818181818183,15.909090909090908,9.090909090909092,0.0,27.27272727272727,15.909090909090908
Gemma-4-31B-it,4,6.8181818181818175,6.8181818181818175,9.090909090909092,11.363636363636363,4.545454545454546,13.636363636363637,9.090909090909092,6.8181818181818175,18.181818181818183,15.909090909090908,0.0,29.545454545454547,9.090909090909092
Gemma-4-31B-it,5,9.25925925925926,9.25925925925926,7.4074074074074066,9.25925925925926,5.555555555555555,11.11111111111111,12.962962962962962,11.11111111111111,11.11111111111111,9.25925925925926,0.0,35.18518518518518,9.25925925925926
Gemma-4-31B-it,6,4.615384615384616,4.615384615384616,7.6923076923076925,4.615384615384616,6.153846153846154,4.615384615384616,9.230769230769232,6.153846153846154,12.307692307692308,10.76923076923077,0.0,18.461538461538463,12.307692307692308
Gemma-4-31B-it,7,20.454545454545457,22.727272727272727,18.181818181818183,18.181818181818183,18.181818181818183,18.181818181818183,18.181818181818183,20.454545454545457,15.909090909090908,25.0,18.181818181818183,22.727272727272727,13.636363636363635
Gemma-4-31B-it,8,3.389830508474576,8.47457627118644,5.084745762711865,10.16949152542373,6.779661016949152,8.47457627118644,6.779661016949152,6.779661016949152,8.47457627118644,11.864406779661016,10.16949152542373,38.983050847457626,3.389830508474576
Gemma-4-31B-it,9,10.256410256410255,12.82051282051282,12.82051282051282,12.82051282051282,15.384615384615383,20.51282051282051,10.256410256410255,17.94871794871795,17.94871794871795,17.94871794871795,20.51282051282051,30.76923076923077,15.384615384615385
Gemma-4-31B-it,10,29.166666666666668,16.666666666666664,29.166666666666668,16.666666666666664,16.666666666666664,20.833333333333336,20.833333333333336,16.666666666666664,8.333333333333332,12.5,12.5,33.33333333333333,8.333333333333332
Gemma-4-31B-it,11,8.928571428571429,8.928571428571429,12.5,12.5,12.5,10.714285714285714,12.5,14.285714285714285,5.357142857142857,10.714285714285714,12.5,28.57142857142857,14.285714285714285
Gemma-4-31B-it,12,20.6896551724138,20.6896551724138,10.344827586206897,20.6896551724138,13.79310344827586,20.6896551724138,31.03448275862069,24.13793103448276,17.24137931034483,24.13793103448276,24.13793103448276,24.13793103448276,24.137931034482758
Gemma-4-31B-it,13,8.064516129032258,8.064516129032258,8.064516129032258,8.064516129032258,9.67741935483871,8.064516129032258,9.67741935483871,6.451612903225806,8.064516129032258,11.29032258064516,9.67741935483871,24.193548387096776,9.67741935483871
Gemma-4-31B-it,14,6.122448979591836,14.285714285714285,10.20408163265306,14.285714285714285,10.20408163265306,10.20408163265306,8.16326530612245,8.16326530612245,14.285714285714285,8.16326530612245,18.367346938775512,20.40816326530612,12.244897959183673
Gemma-4-31B-it,15,11.11111111111111,16.666666666666664,12.962962962962962,18.51851851851852,18.51851851851852,16.666666666666664,14.814814814814811,16.666666666666664,14.814814814814811,14.814814814814811,18.51851851851852,27.77777777777778,12.962962962962962
Gemma-4-31B-it,16,21.21212121212121,18.181818181818183,18.181818181818183,18.181818181818183,21.21212121212121,18.181818181818183,21.21212121212121,18.181818181818183,18.181818181818183,21.21212121212121,18.181818181818183,30.303030303030305,21.21212121212121
Gemma-4-31B-it,17,4.166666666666666,10.416666666666668,6.25,8.333333333333332,10.416666666666668,12.5,6.25,10.416666666666668,12.5,12.5,20.833333333333336,31.25,8.333333333333332
Gemma-4-31B-it,18,1.6666666666666667,1.6666666666666667,3.333333333333333,0.0,5.0,10.0,3.333333333333333,3.333333333333333,10.0,5.0,13.333333333333334,31.666666666666664,10.0
Gemma-4-31B-it,19,21.428571428571427,16.666666666666664,16.666666666666664,16.666666666666664,11.904761904761903,14.285714285714285,19.047619047619047,16.666666666666664,4.761904761904762,14.285714285714285,26.1904761904762,38.095238095238095,19.047619047619047
Gemma-4-31B-it,20,13.513513513513514,18.91891891891892,18.91891891891892,21.62162162162162,24.324324324324326,21.62162162162162,21.62162162162162,21.62162162162162,18.91891891891892,21.62162162162162,29.72972972972973,37.83783783783784,29.72972972972973
Gemma-4-31B-it,21,7.6923076923076925,11.538461538461538,9.615384615384617,17.307692307692307,11.538461538461538,7.6923076923076925,3.8461538461538463,1.9230769230769231,9.615384615384617,13.461538461538462,23.07692307692308,21.15384615384616,3.8461538461538463
Gemma-4-31B-it,22,10.76923076923077,10.76923076923077,13.846153846153848,13.846153846153848,12.307692307692308,12.307692307692308,12.307692307692308,3.076923076923077,13.846153846153848,16.923076923076923,10.76923076923077,23.07692307692308,10.76923076923077
